ID,GeneID,geneSymbol,chr,strand,longExonStart_0base,longExonEnd,shortES,shortEE,flankingES,flankingEE,ID,IJC_SAMPLE_1,SJC_SAMPLE_1,IJC_SAMPLE_2,SJC_SAMPLE_2,IncFormLen,SkipFormLen,PValue,FDR,IncLevel1,IncLevel2,IncLevelDifference,gene
1778,ENSG00000108799.12,EZH1,chr17,-,42706006,42706185,42706006,42706113,42707957,42708083,1778,219,0,,,147,75,,,1,,,ENSG00000108799
2301,ENSG00000076108.11,BAZ2A,chr12,-,56600942,56601098,56600942,56601086,56601179,56601402,2301,61,4,,,87,75,,,0.929,,,ENSG00000076108
2302,ENSG00000076108.11,BAZ2A,chr12,-,56606246,56606395,56606246,56606312,56606632,56606733,2302,9,56,,,150,75,,,0.074,,,ENSG00000076108
2303,ENSG00000076108.11,BAZ2A,chr12,-,56609735,56609946,56609735,56609937,56610113,56610215,2303,24,0,,,84,75,,,1,,,ENSG00000076108
2304,ENSG00000076108.11,BAZ2A,chr12,-,56610408,56610539,56610408,56610517,56611572,56611633,2304,0,29,,,97,75,,,0,,,ENSG00000076108
2703,ENSG00000131626.16,PPFIA1,chr11,+,70372211,70372390,70372214,70372390,70365940,70365967,2703,0,26,,,78,75,,,0,,,ENSG00000131626
3076,ENSG00000018189.12,RUFY3,chr4,+,70793764,70793904,70793784,70793904,70789494,70789592,3076,6,9,,,95,75,,,0.345,,,ENSG00000018189
3330,ENSG00000143748.17,NVL,chr1,-,224313049,224313155,224313049,224313151,224317693,224317793,3330,0,4,,,79,75,,,0,,,ENSG00000143748
3331,ENSG00000143748.17,NVL,chr1,-,224317693,224317793,224317693,224317786,224317877,224317930,3331,13,0,,,82,75,,,1,,,ENSG00000143748
3332,ENSG00000143748.17,NVL,chr1,-,224317877,224317930,224317877,224317925,224326390,224326464,3332,16,4,,,80,75,,,0.789,,,ENSG00000143748
4184,ENSG00000162819.11,BROX,chr1,+,222724091,222724164,222724099,222724164,222719262,222719359,4184,6,2,,,83,75,,,0.731,,,ENSG00000162819
4588,ENSG00000076944.15,STXBP2,chr19,+,7640697,7640809,7640730,7640809,7639730,7639807,4588,1,8,,,108,75,,,0.08,,,ENSG00000076944
4589,ENSG00000076944.15,STXBP2,chr19,+,7640697,7640809,7640739,7640809,7639730,7639807,4589,1,0,,,117,75,,,1,,,ENSG00000076944
4590,ENSG00000076944.15,STXBP2,chr19,+,7640730,7640809,7640739,7640809,7639730,7639807,4590,8,0,,,84,75,,,1,,,ENSG00000076944
4591,ENSG00000076944.15,STXBP2,chr19,+,7646171,7646344,7646248,7646344,7645196,7645306,4591,24,13,,,150,75,,,0.48,,,ENSG00000076944
5241,ENSG00000158286.12,RNF207,chr1,+,6211866,6212053,6211922,6212053,6211020,6211118,5241,30,3,,,131,75,,,0.851,,,ENSG00000158286
5242,ENSG00000158286.12,RNF207,chr1,+,6212217,6212416,6212230,6212416,6211866,6212053,5242,1,27,,,88,75,,,0.031,,,ENSG00000158286
5533,ENSG00000085788.13,DDHD2,chr8,+,38234393,38234584,38234399,38234584,38232986,38233214,5533,90,0,,,81,75,,,1,,,ENSG00000085788
5534,ENSG00000085788.13,DDHD2,chr8,+,38252721,38252824,38252741,38252824,38252131,38252287,5534,153,0,,,95,75,,,1,,,ENSG00000085788
5963,ENSG00000026950.16,BTN3A1,chr6,+,26405371,26405648,26405541,26405648,26402236,26402412,5963,13,0,,,150,75,,,1,,,ENSG00000026950
5964,ENSG00000026950.16,BTN3A1,chr6,+,26405371,26405648,26405503,26405648,26402249,26402412,5964,12,0,,,150,75,,,1,,,ENSG00000026950
5965,ENSG00000026950.16,BTN3A1,chr6,+,26407670,26407952,26407826,26407952,26405908,26406256,5965,12,0,,,150,75,,,1,,,ENSG00000026950
5966,ENSG00000026950.16,BTN3A1,chr6,+,26409893,26410032,26410005,26410032,26409532,26409733,5966,16,1,,,150,75,,,0.889,,,ENSG00000026950
5992,ENSG00000134262.12,AP4B1,chr1,-,113898717,113898801,113898717,113898763,113900269,113900400,5992,18,1,,,113,75,,,0.923,,,ENSG00000134262
6746,ENSG00000111801.15,BTN3A3,chr6,+,26443366,26443442,26443381,26443442,26440471,26440648,6746,0,3,,,90,75,,,0,,,ENSG00000111801
6747,ENSG00000111801.15,BTN3A3,chr6,+,26443569,26443659,26443640,26443659,26443381,26443442,6747,8,0,,,146,75,,,1,,,ENSG00000111801
6748,ENSG00000111801.15,BTN3A3,chr6,+,26443956,26444304,26444010,26444304,26443569,26443659,6748,9,0,,,129,75,,,1,,,ENSG00000111801
7396,ENSG00000095794.19,CREM,chr10,+,35178871,35178986,35178888,35178986,35148367,35148491,7396,0,21,,,92,75,,,0,,,ENSG00000095794
7470,ENSG00000140553.17,UNC45A,chr15,+,90934338,90934549,90934434,90934549,90933976,90934143,7470,3,0,,,150,75,,,1,,,ENSG00000140553
7471,ENSG00000140553.17,UNC45A,chr15,+,90936136,90936460,90936284,90936460,90935945,90935982,7471,58,29,,,150,75,,,0.5,,,ENSG00000140553
7530,ENSG00000086848.14,ALG9,chr11,-,111838248,111838399,111838248,111838378,111840654,111840809,7530,14,27,,,96,75,,,0.288,,,ENSG00000086848
